individualCount,Ph_corr
680,7.896
693,7.946416667
693,7.949791667
693,7.927333333
687,7.924333333
696,7.946208333
710,7.950666667
763,7.975958333
752,7.940291667
750,7.937625
732,7.912875
767,7.947166667
812,7.958
836,7.952875
930,8.07925
956,8.274708333
1037,8.433166667
1294,8.492916667
1386,8.322916667
1413,8.616333333
1423,8.660208333
1427,8.827083333
1431,9.0425
1431,9.0845
1327,8.917166667
1363,8.887
1357,8.874083333
1352,8.889958333
1353,8.103845544
1362,8.120458195
1308,8.133352097
1349,8.143475166
1395,8.145921151
1427,8.144106719
1436,8.141646454
1458,8.149330091
1458,8.134807326
1456,8.135805395
1582,8.136009865
1530,7.833685017
1426,7.658202332
1397,7.623927635
1260,7.486890591
1094,7.673839266
939,7.689691501
930,7.893449986
956,7.826573055
974,7.624537942
872,7.53749823
782,7.53984
778,7.532498
940,7.822398471
932,7.82982374
891,7.734823493
