"HARD_CORAL","human50km"
22.9,114
48.8,67
31.9,56
21.8,22
27.8,16
25.6,21
16,29615
28.8,0
23.4,0
19.7,0
27,8051
24.5,1932
29.3,784
20.7,150
9.5,142014
15.3,147153
23.6,15903
23,36856
11.1,48379
47.5,16143
7.9,25366
40,154101
7.3,530
1.3,120
29.5,0
29.2,0
31.3,0
11.4,0
21.8,10846
45.6,9478
27.4,7354
16.7,0
39.3,0
48.3,0
15.2,0
19.1,0
26.2,0
27,0
43.7,0
31.8,0
72.3,0
11,0
9.9,0
13.2,0
15.8,0
37.6,0
32.1,52577
5.7,62892
14.4,62866
36.9,0
17.4,62823
28,62823
13.2,62823
10,941905
13.2,833179
49.1,944162
12.5,944766
25.2,886061
64.6,15588
3.5,29300
66.1,80480
10.4,132888
39.4,132910
63.5,127589
21.6,127284
15,127284
39,130018
9.8,33594
10.1,72048
36.3,864
36.9,28914
5.6,493469
13.8,263011
28.1,258624
35,294
40.6,294
14.4,0
38.8,0
25.3,0
20.9,0
21.3,0
18.8,0
16.9,0
15.9,0
19.1,1249007
56.3,74445
34.4,74758
33.8,80313
48.8,80104
31.9,56666
19.4,87917
21.3,18837
20.6,542131
27.5,494173
32.5,500833
43.8,97861
43.8,51401
43.1,77158
32.5,112417
45,370940
27.5,361018
17.7,893492
28.8,846377
16.9,1118809
23.8,18974
41.3,23362
56.3,21106
66.3,21106
48.8,21106
55.6,21106
16.9,18974
6.3,18974
10.6,21106
15.6,21106
6.9,19338
2.5,84352
20.3,11689
33.1,0
16.3,52446
35,8412
11.9,34774
19.4,58959
33.1,1418
28.1,56568
12.5,901709
10,901709
5.6,901709
13.8,893959
47.5,2937854
21.9,84731
52.5,84731
50.9,84731
56.9,388241
38.1,391292
68.1,602287
18.1,871760
44.4,807782
18.1,8424209
37.5,172689
15,8662
15,339
21.3,833179
16.3,115364
25,16654
3.1,134077
18.8,134230
15,114342
30.9,114728
17.5,2949
59.1,1388
30,833179
28.1,891077
60,9612
26.6,53995
24.7,53995
0.6,932841
29.4,89887
20,89887
11.3,89887
25.6,89887
68.1,16640260
50.6,8053248
32.5,13075029
37.5,12165822
57.5,16099746
68.1,15694061
47.5,14454390
60,15128194
36.9,14590816
45.6,11990341
71.9,14662674
17.5,11685340
50.6,11520669
18.1,11927162
63.1,13938324
68.8,13779617
51.3,15899429
67.5,12599411
60,11238887
14.4,12154348
58.8,3333320
21.3,27491
69.1,27491
45.6,47997
33.8,5456
66.3,5462
39.4,133266
28.1,1578262
21.9,32114
27.2,32114
30.6,32114
9.4,30815
52.5,16099746
53.1,89887
45,89876
59.4,99273
38.1,89876
37.7,8894
88.8,944766
36.9,61682
26.6,61682
46.3,53788
25.3,16128
51.9,16237
42.5,14507
10.6,97581
61.9,167298
56.3,9470
44.1,11224
66.3,435637
39.4,478728
24.7,437301
34.4,20800
14.4,20800
45,10270
38.1,10270
66.9,10270
61,10270
48.4,10270
62.5,10270
52.5,10270
36.3,10270
55.6,0
27.5,10270
46.9,10270
62.5,0
63.8,10270
24.4,3158035
13.1,3091938
22.5,2713833
10.6,3066659
11.3,3058930
10.3,3046731
1.9,3012479
43.1,2778374
45.6,3101027
18.1,2778452
18.8,3141221
22.5,3162993
8.8,3038588
10,3031870
21.3,3149669
54.1,3209830
21.3,3125926
29.4,3101234
14.7,3066659
43.1,3111944
1.9,3107902
48.8,3127148
21.3,3091731
27.5,3160508
13.1,3049595
27.2,3091731
17.5,3161974
8.1,3010418
30.6,3151077
21.3,3049595
19.4,116226
54.1,256019
62.5,1893962
37.5,1758497
42.5,1585170
55,1645670
13.1,11224
72.5,11224
16.3,11304
59.4,11329
38.8,11329
5,11300
7.5,11243
21.9,17604
35,557445
36.3,3091938
5,399559
42.5,154267
11.3,153785
69.1,154330
46.9,154380
15,698943
35,698943
15,703520
6.3,716262
8.1,727936
3.8,732148
8.8,636225
35.3,593459
25,104281
3.1,92005
15,101352
15,83108
18.8,113825
16.9,93823
0.6,95235
38.8,98571
14.4,87866
62.5,0
21.9,0
32.5,3101027
30.6,3123816
47.5,3101027
46.3,1545303
16.9,1411536
71.9,227730
12.5,53995
49.4,1481207
20.3,1316704
43.8,1381973
20.6,1335597
28.8,1321341
10.6,1302634
8.1,1044582
8.1,112593
25,142448
49.4,41887
48.8,46079
38.4,46079
52.5,105099
59.4,107504
21.9,104814
26.9,107504
36.3,98010
27.5,108634
40,104814
36.9,108634
20.6,93529
20,105133
14.4,58238
2.5,98571
18.1,101352
23.8,104187
35.6,122884
80,135368
15.6,86551
40,100892
44.4,158788
14.4,97051
33.8,113825
51.3,150831
40,119861
36.9,88370
21.3,93823
31.3,105625
31.9,110286
3.1,97051
45,113095
19.4,93823
48.8,88370
67.5,1452172
44.7,48399
75,30064
21.3,21121
16.9,23681
3.8,24986
14.4,26269
31.3,28397
26.3,22022
73.1,1184141
15.6,1132256
51.3,0
63.1,48008
35.6,1892
37.5,1892
51.9,27491
41.3,48008
39.4,47867
30.3,47877
29.4,47877
31.6,47877
43.8,53995
28.8,9514
17.5,9568
20,9845
17.2,11458
25.3,11458
61.9,1015896
5.3,971615
17.5,971615
16.3,1135096
25,10790
43.8,74825
56.3,8650
52.5,8650
38.8,9815
12.5,3947
26.9,11866
29.4,11190
21.6,11993
13.1,937023
31.9,103699
39.4,118379
31.3,664464
20,694614
6.3,709791
35.6,165078
25.6,188251
20,105503
26.3,114012
62.8,375701
24.4,13016
34.1,280488
58.1,2497
7.5,926187
38.8,1007
43.1,0
53.1,1847
41.9,1436
32.8,1007
23.8,3
37.5,1704
42.5,1007
46.9,6
